new questions about attacking iraq ; is torturing terrorists necessary ? |||O O O O O O O O O O O 
and i think she fell and maybe she hit her head or something and it killed her , so he panicked . |||O O O O O O O O B-TRI O O O O O O B-TRI O O O O O O 
a i do n't think he -- you know , i thi - i do n't know . |||O O O O O O O O O O O O O O O O O O 
i don - eh , you know , because -- th - well , with the baby and stuff , you know , she was still pregnant at that time , so . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
alithia yeah , because i was really -- i was n't really following it that much because i was - |||O O O O O O O O O O O O O B-TRI O O O O O O 
alithia but -- ( ( but i 'd love to have his hair ) ) something just came off the ~ tv about the scott trial . |||O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O 
alithia i 'm in south carolina . |||O O O O O O O 
i live in redwood city , which they actually moved the trial here a couple months into it . |||O O O O O O O O O O O B-TRI O O O O O B-TRI O 
a where he had committed the murders , so . |||O O O O B-TRI O O O O O 
a yeah , we 're a pretty small town , so our newspaper covers it a lot . |||O O O O O O O O O O O O O O B-TRI O O O 
still do , i 'm kind of sick of hearing about him , but -- e - hopefully this 'll be the end of it . |||O O O O O O O O O O O O O O O O O O O O O O O O O O 
once they sentence him ( ( i bet ) ) . |||O O B-TRI O O O O O O O O 
hopefully , you know , if he 's guilty hopefully , you know , they find him guilty -- and hopefully they have evidence , you know . |||O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O 
do you know if they have , like , evidence and , |||O O O O O O O O O O O O 
alithia you know , against him or whatever ? |||O O O O O O O O O 
there was so much evidence , you know , it 's -- a lot of it could n't be used , a lot of it was used in that , you know , what they used against him . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
how would -- did they , like , found , like , eh , you know , fingerprints or whatever ? |||O O O O O O O O O O O O O O O O O O O O O 
um , they brought the boat down , or a duplicate of the boat to , kind of , you know , get a feel for it but they had to remove it from redwood city because people were putting flowers in it in -- memory of laci and , you know , planting flowers around it and stuff , so it was pretty interesting . |||O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
alithia oh , yeah , that 's cool . |||O O O O O O O O O 
eh , did you all -- did you all know her , or ? |||O O O O O O O O O O O O O O 
a but i - -- what ? |||O O O O O O O 
alithia did you all know laci , or ? |||O O O O O O O O O 
a um , a friend of mine 's sister used to work in a maternity wear store and laci peterson , the day before she disappeared , was in her store maternity shopping . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
a so , yeah , it was my friend 's sister -- who lives in modesto . |||O O O O O O O O O O O O O O O O O 
a yeah , so , it kind of hit close to home with her , she 's just -- you know , because she kind of felt like she knew her and |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
yeah , i think it 's very sad , you know , just hearing about it . |||O O O O O O O O O O O O O O O O O 
a yeah , it 's -- it 's -- a whole long process . |||O O O O O O O O O O O O O O 
they 've been at this for almost three years , so . |||O O O O O O O O O O O O 
a yeah , it 's almost been three years . |||O O O O O O O O O O 
oh , i thought it was just getting on ~ tv over here . |||O O O O O O O O O O O O O O 
a no . yeah , it might be over there , but it 's been on here for a long time . |||O O O O O O O O O O O O O O O O O O O O O O 
so , it must 've just went local and then then went national |||O O O O O O O O O O O O O 
you know , we 're close to the trial so of course it 's going to be in the newspaper every single day . |||O O O O O O O O B-TRI O O O O O O O O O O O O O O O 
so , it 's , you know , and the trial , the , um , what is it called , the verdict , was actually read by audio over the ~ tv . |||O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O 
so it it 's pretty ( ( depressing ) ) |||O O O O O O O O O O 
is this the case that 's trying to , um , uh , they 're trying to - to get a new juror ? |||O O O O O O O O O O O O O O O O O O O O O O O O 
is that -- is that the one where somebody called a news - |||O O O O O O O O O B-TRI O O O 
a they 're trying to get a what ? |||O O O O O O O O O 
alithia a new * jural -- a new dir - -- they did ? |||O O O O O O O O O O O O O O 
a oh , they already did . |||O O O O O O O 
yes , a long time ago . |||O O O O O O O 
alithia because somebody had -- called the news people . |||O O O O O B-TRI O O O O 
they already did , a long time ago , um , actually a couple days before the verdict was was put on . |||O O O O O O O O O O O O O O O O O O O O O O O 
alithia because that 's what they 're still talking about he - in these papers here . |||O O O O O O O O O O O O O O O O O 
a yeah , they did that a while back . |||O O O O O O O O O O 
a so , it 's now getting wind to your area . |||O O O O O O O O O O O O 
so we 're - this - we 're so late over here . |||O O O O O O O O O O O O O 
a you know , we get pretty much the information ( ( hey , it 's mom and , ) ) hold on . |||O O O O O O O O O O O O O O O O O O O O O O O O 
4 . peterson trial scott peterson has been found guilty of murdering his wife laci and their unborn son , and he now faces the death penalty . |||O O O O O O O O O B-TRI O B-TRI O O O O O O O O O O O B-TRI O O O O 
do you think he is guilty of the crimes he 's been convicted of ? |||O O O O O O O O O O O O O O O 
if so , what were his motives ? |||O O O O O O O O 
how closely did you follow the trial and what do you think of all of the media coverage of the trial ? |||O O O O O O B-TRI O O O O O O O O O O O O O B-TRI O 
what kind of sentencing should peterson receive ? |||O O O B-TRI O O O O 
hi , my name is hillary . |||O O O O O O O 
could you hold on for a second ? |||O O O O O O O O 
hillary a pretty -- depressing topic for today . |||O O O O O O O O O 
kelly yeah , i guess so . |||O O O O O O O 
the truth is i do n't really , uh , i do n't really know much about that topic . |||O O O O O O O O O O O O O O O O O O O O 
i did n't really follow the trial very closely at all |||O O O O O O B-TRI O O O O 
hillary we do n't have , uh , cable so we purposely did n't watch the trial , but i read about it on the internet . |||O O O O O O O O O O O O O O O O B-TRI O O O O O B-TRI O O O O 
hillary he -- killed his wife when she was -- eight months pregnant and -- and dumped her in , uh -- the ocean , basically . |||O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O 
so why was it so special ? |||O O O O O O O 
why did that , uh -- particular case make -- the the national news ? |||O O O O O O O O O O O O O O O 
hillary i think it 's because it was in such , it was like a , um |||O O O O O O O O O O O O O O O O O 
hillary it was -- in such a quiet , upscale community where it happened and -- um just i think the fact of her being eight months pregnant , um , drew a lot of attention and |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
hillary of course people were worried about her for a long time and then they found her and blah blah blah . |||O O O O O O O O O O O O O O O O O O O O O O 
it was -- gossip , basically . |||O O O O O O O 
oh , but the mistress had nothing to do with the murder ? |||O O O O O O O O O O O B-TRI O 
hillary i think -- yeah , cause he found out , they found out he had a mistress , and then it was like , oh -- yeah . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
are -- i do n't think , i do n't think so , but who knows ? |||O O O O O O O O O O O O O O O O O 
hillary very sad cause she has a child herself and so she drug her son through a lot of -- uh , drama that he did n't need to be part of . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
she has a son too , so he he also got put -- um -- you know , in the spotlight a bit , from what i understand . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
i did n't , i do n't have tv though , so i do n't really know . |||O O O O O O O O O O O O O O O O O O 
oh , the son of the , right right . |||O O O O O O O O O O 
hillary of -- of his girlfriend , yeah . |||O O O O O O O O O 
i hear though , that he 's going to be -- the first person to be ( ( ) ) um -- uh -- killed for a crime in california in like , thirty five years or something . |||O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O 
hillary i do n't know if they 've , i do n't know if they 've -- um -- given him the death penalty yet . |||O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O 
but i think he would be the first in , in a really long time to actually -- be killed . |||O O O O O O O O O O O O O O O O O O O B-TRI O 
kelly um -- why , uh , now why did they decide that this was to be this big ( ( ) ) out of this with the most heinous crime in all of california ? |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O 
kelly i mean i guess that 's not how they decide who died , but it 's because of the |||O O O O O O O O O O O O B-TRI O O O O O O O 
kelly the , uh , cou -, like the -- the court that they went to , like the area does n't |||O O O O O O O O O O O O O O O O O O O O O O 
hillary well , i do n't know why they decided on this , i think it was because it was so public of a case . |||O O O O O O O O O O O O O O O O O O O O O O O O O O 
but they have a lot of |||O O O O O O 
hillary they have many many worse crimes going on in california , parents killing their children and everything , that you would think -- would would , um -- you know , be |||O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O 
hillary yeah , but they do n't , they ignore those because this one got on television , i guess . |||O O O O O O O O O O O O O O O O O O O O O 
kelly keep like -- uh , the jury from watching ~ tv and the media and stuff . |||O O O O O O O O O O O O O O O O O O 
but i guess now ( ( it 's , uh ) ) -- pretty much impossible -- to do . |||O O O O O O O O O O O O O O O O O O O O 
hillary i i do n't know . |||O O O O O O O 
i never really got the whole -- watching it on ~ tv and and getting into the whole -- mystery of it because , in the end , the woman 's dead and so is her child and -- and -- there 's -- really no way of changing that i guess . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
yeah , uh , i think it 's kind of strange how it was so publicized . |||O O O O O O O O O O O O B-TRI O O O O 
like i 'm just , seriously , like i do n't , like i try not to watch , like -- too much , like |||O O O O O O O O O O O O O O O O O O O O O O O O O 
you ca n't help it sometimes . |||O O O O O O O 
but it just amazes me that , uh , i think it 's ridiculous how publicized -- how much publicity it got because -- i mean there 's like human rights violations going on all around the world . |||O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O 
i mean there 's like , genocide in sudan right now but like , nobody talks about that . |||O O O O O O B-TRI O O O O O O O O O O O O 
oh yeah and what 's going on in , i know and people -- flock , flock to the store to buy all their -- all their foreign made goods and it 's like what are you -- doing ? |||O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O O 
obviously they do n't really care about what 's going on . |||O O O O O O O O O O O O 
they just like to hear the details . |||O O O O O O O O 
maybe if they could hear the details about other things they would be more involved . |||O O O O O O O O O O O O O O O O 
um ( ( ) ) it 's almost like , uh -- ( ( ) ) diversion but it just seems like they just make it into like , like a soap opera for people to watch , you know ? |||O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O 
well you know , some people were glued to their ~ tvs for weeks , and it 's just to disturbing that that would be their -- their main entertainment during the day . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
hillary especially when there 's so many other things they could be doing . |||O O O O O O O O O O O O O O 
i could not sit around all day and watch a murder trial on ~ tv , especially with my kids around . |||O O O O O O O O O O O O O O O O O O O O O O 
4 . peterson trial scott peterson has been found guilty of murdering his wife laci and their unborn son , and he now faces the death penalty . |||O O O B-TRI O O O O B-TRI O O B-TRI O O O O O O O O O O O B-TRI O O O O 
do you think he is guilty of the crimes he 's been convicted of ? |||O O O O O O O O O O O O B-TRI O O 
if so , what were his motives ? |||O O O O O O O O 
how closely did you follow the trial and what do you think of all of the media coverage of the trial ? |||O O O O O O B-TRI O O O O O O O O O O O O O B-TRI O 
what kind of sentencing should peterson receive ? |||O O O B-TRI O O O O 
a uh , there there 's something about this scott peterson trial , though , that the th - that i ca n't i ca n't recall hearing . |||O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O 
did the -- are they still going to try to get him with , uh , the death penalty or are they -- -- or are they going to be content with just , uh , just , you know , giving him life , uh , have heard about that ? |||O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O 
a i mean , are are they still going to go after him with al - with all their -- all of their ability ? |||O O O O O O O O O O O O O O O O O O O O O O O O O 
eh , you know , are they -- are they s - |||O O O O O O O O O O O O 
b i think if they do -- if they -- th - i think that they can -- because -- in california , uh , the baby was considered a person |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
b and they had a little bit about that at church last week -- when i went to church services , or the week before , i ca n't remember , but , um , it -- i kind of thought then -- that , uh , when i first heard about the case , let me just back up a little bit . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
when i first -- heard the case , or about it , i -- told myself , if he did do it , |||O O O O O O O O O O O O O O O O O O O O O B-TRI O 
a yeah , he probably did . |||O O O O O B-TRI O 
b and i think he did , |||O O O O O B-TRI O 
b uh , if he did do it , i -- thought to myself , he will probably get -- the maximum sentence of whatever it is |||O O O O O O O B-TRI O O O O O O O O O O B-TRI O O O O O O O O 
a well , he he he probably will , yeah . |||O O O O O O O B-TRI O O O 
b because of the baby |||O O O O O 
b and , to me , i -- do n't believe even -- eh , exactly , you know , fetal state , i believe that that was a baby -- that could 've lived . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
a right , a human being , yeah . |||O O O O O O O O O 
so , to me , i would n't -- he - it would n't 've been good if he -- if i had been on his jury . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
mm , yeah , i see what you mean . |||O O O O O O O O O O 
i could never vote , i mean , to let him go . |||O O O O O O O O O O O O O 
b i c - but , now , i do n't know that i would vote for a death penalty because i 'm not sure that a -- a death cancels out a death . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O B-TRI O 
b i 'm not -- -- i i do n't know , and -- i would n't really be able to vote -- on that because my father was killed at work . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O 
a oh , i 'm sorry to hear that . |||O O O O O O O O B-TRI O 
so , you think you -- -- so , you know , i i 've got two things that probably -- i would be disqualified on that kind of a jury . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
well , i 'm pretty sure of it . |||O O O O O O O O O 
b but , uh , believe it or not , i do still feel sorry for him |||O O O O O O O O O O O O O O O O O 
a uh , wh - yeah , i do too . |||O O O O O O O O O O O 
i feel sorry for him . |||O O O O O O 
he 's going to be in the |||O O O O O O O 
b more so for his family -- m - more so for both families -- because i know that from my own experience , we 're the one 's that are left . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
a well , he 's also being , uh , you know , dragged through , uh , the media , you know , uh , |||O O O O O O O O O O O O O O O O O O O O O O O O O O 
b now , to to me that was |||O O O O O O O O 
a the nation - wi - nation - wide med - the natio - |||O O O O O O O O O O O O O O 
a oh , you mean being dragged through the media like that ? |||O O O O O O O O O O O O O 
yeah , it it is unfair , yeah . |||O O O O O O O O O 
you know , he 's having th - he 's having th - |||O O O O O O O O O O O O O 
b eh , i i do n't know , though , if it was because it was sensational lies . |||O O O O O O O O O O O O O O O O O O O O 
the case was so different |||O O O O O 
a w - well it was a - |||O O O O O O O O 
a it was a pretty sensational case , all right , yeah . |||O O O O O O O O O O O O O 
and then when they drug in , i re - |||O O O O O O O O O O 
i ca n't -- that amber frey , and then also that , um , |||O O O O O O O O O O O O O O O 
a yeah , amber 's the attorney . |||O O O O O O O O 
b any time you bring in amb - er , i mean , allred , i 'm not against her , i like her , eh , at times , but -- when they brought her in -- and this other woman , i though , uh - oh , any chance he has of any -- of any kind of a trial that 's , uh , not what i call sensationalized , is over . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
uh , i agree with that , yeah . |||O O O O O O O O O 
a you know , she was , eh , in -- always ruling in , uh , in , uh , what was the word i was looking for , uh , possessive -- no , not possessive but protective -- of , um , of , uh , her client , um , just , um , wh - what was her name ? |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
she was always ready to bite anyone 's head off that ha - had anything , you know , slightly wrong abo - you know , uh , ow , or amiss about amber . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
well , you know , you may think i 'm a little -- crazy , but at first when i heard about , uh , frey , when i first heard about her , i got worried that maybe it was -- both of them |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
b because they 're -- i 've never totally -- believed -- that peterson did this all by himself . |||O O O O O O O O O O O O O O O B-TRI O O O O 
she may have -- she may have , uh , planted the idea in his head , you know . |||O O O O O O O O O O O O O O O O O O O O 
yet something tells me , and -- i think -- that he actually -- was so involved her , th - amber , |||O O O O O O O O O O O O O O O O O O O O O O O 
b that if -- she had anything to do with this , i do n't think he would ever tell . |||O O O O O O O O O O B-TRI O O O O O O O O O O 
i do n't believe he would ever tell on her . |||O O O O O O O O O O O 
there was the impression i got . |||O O O O O O O 
i kind of , uh , watched him at different times when they would mention her |||O O O O O O O O O O O O O O O O 
a yeah , he he seemed to be be very vili - he seemed to be most most un - at - eh , un - at - ease |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
b and i just think that |||O O O O O O 
a when they were talking about amber . |||O O O O O O O O 
and that caught my eye . |||O O O O O O 
i do n't know if it 's because i 'm a woman but , um , i thought , uh - oh , |||O O O O O O O O O O O O O O O O O O O O O O O 
b because at that time , uh -- right now , i 've been , like , totally busy with , uh , holiday , you know , so |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
peterson trial scott peterson has been found guilty of murdering his wife laci and their unborn son , and he now faces the death penalty . |||O O O O O O O B-TRI O B-TRI O O O O O O O O O O O B-TRI O O O O 
do you think he is guilty of the crimes he 's been convicted of ? |||O O O O O O O O O O O O B-TRI O O 
if so , what were his motives ? |||O O O O O O O O 
how closely did you follow the trial and what do you think of all of the media coverage of the trial ? |||O O O O O O B-TRI O O O O O O O O O O O O O B-TRI O 
what kind of sentencing should peterson receive ? |||O O O O O O O O 
my name is jean , and i 'm in arizona . |||O O O O O O O O O O O 
mohammed oh , from arizona , jean . |||O O O O O O O O 
jean i 'm fine , thank you . |||O O O O O O O O 
mohammed ah , this is mohammed , calling from new york . |||O O O O O O O O O O O O 
jean mohammed , calling from new york . |||O O O O O O O O 
well , the topic is interesting , but they 've been having this one for three days . |||O O O O O O O O O O O O O O O O O O 
i do n't know why they 're so obsessed with it . |||O O O O O O O O O O O O 
mohammed seems like it 's a weekend , or they want to get as much as they can feedback from people . |||O O O O O O O O O O O O O O O O O O O O O O 
jean i guess so , yes . |||O O O O O O O 
and so what do you think was - |||O O O O O O O O 
jean i i did n't actually -- watch the trial very much , uh th - in fact , i did n't watch the trial at all . |||O O O O O O O O O B-TRI O O O O O O O O O O O O O O B-TRI O O O 
jean i read about it in the newspaper and things like that . |||O O O O B-TRI O O O O O O O O 
um , i do think from all the , uh , things that i have heard that he -- had to be guilty with all the evidence that they had , but um , i do n't really know why , uh , if everybody was so , sort of , obsessed about it when we 've got so much other -- things going on in the world that , uh , seem to me much more important , but um . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
perhaps it was because he seemed , uh , a very human kind of person and , and you cou - you could n't really understand why he would want to do something about that . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
i - i think his motive must have been to be with his new girlfriend , but uh - -- kill his own first child that way is extraordinary . |||O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O 
what do you think about it ? |||O O O O O O O 
being very frankly , i was not , uh , following the case at all even uh uh television , or uh reading , but from what i can observe , that it seems , eh , it has been talking -- -- taking too long time . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
like one year almost , now . |||O O O O O O O 
it was -- taking so much time . |||O O O O O O O O 
the case is almost one year . |||O O O O O O O 
like last , uh , christmas if i 'm not , uh , recalling my memory . |||O O O O O O O O O O O O O O O O O 
so for one year , it 's really a good time . |||O O O O O O O O O O O O 
so i 'm asking myself why it took such a long |||O O O O O O O O O O O 
it may be because -- it 's quite important , or so there is so many everything 's , i mean , it 's , it 's a really different case . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
but , the quo - the nice quotient is about the media . |||O O O O O O O O O O O O O 
but the media have biased in this , |||O O O O O O O O 
i believe that media is a very good , uh , i mean , uh , way to give us all the opportunity to understand and see . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
i mean without the media , you and i , how we will be knowing ? |||O O O O O O O O O O O O O O O O 
do you think they were biased in in -- favor of him , or in favor |||O O O O O O O O O O O O O O O O 
no , i do n't think so . |||O O O O O O O O 
no , i did n't think so either from what i heard . |||O O O O O O O O O O O O O 
mohammed maybe -- sometimes in - in - in - in other issues they - they may be biased , but in this issue they were just -- covering what 's happening , |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
mohammed and , uh , they give us the picture . |||O O O O O O O O O O O 
it was a camera -- to give you the view . |||O O O O O O O O O O O 
i do n't think they were biased in this case here . |||O O O O O O O O O O O O 
and , uh , what do you think will happen next ? |||O O O O O O O O O O O O 
well , uh they 're coming up to the sentencing , and i heard yesterday or read in the newspaper or something that his brother -- i guess it was on the television . |||O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O 
in the news , his brother was appealing -- for them to to sentence him to -- to prison for life rather than the death penalty , because -- he said he 's a very good listener and he cares about people , and and he might be able to help a lot of people in prison . |||O O O O O O O B-TRI O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
i do n't know whether that is true or not . |||O O O O O O O O O O O 
i know that he had done a lot of volunteer things before , and that was the one things that made me wonder there was any possible chance that it could have been somebody else who did it . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O 
i think given such as i have heard , even though like you , i did not follow the case day by day or anything like that , i do n't quite see how he could not be guilty if they 've got so much that appears to point to him . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
and what would be the motive for anybody trying to -- to get him if it was n't |||O O O O O O O O O O O O O O O O O O 
5 . death of arafat ( 1 ) controversial plo leader yasser arafat died in a paris hospital last week . |||O O B-TRI O O O O O O O O O O B-TRI O O O O O O O 
do you think arafat 's death will help or hurt the israeli- palestinian peace process ? |||O O O O O B-TRI O O O O O O O O O O 
was arafat a good leader ? |||O O O O O O 
what do you think us policy should be toward palestine now that arafat has died ? |||O O O O O O O O O O O O O O B-TRI O 
what , if anything , should the us do to be involved in the middle east peace process ? |||O O O O O O O O O O O O O O O O O O O 
marco hi . wha - i did n't catch your name . |||O O O O O O O O O O O O 
gandhi gandhi from new york . |||O O O O O O 
uh , i think it 's fresh topic for tonight . |||O O O O O O O O O O O 
so what do you think ? |||O O O O O O 
well , um , i would - i would have to start - -- i would have to start , generally , in stating - -- stating what i think is the problem and -- - with the middle east and what - for me , one of the major problems is the fact that -- the -- united states government gives so much aid to the state of israel . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O 
in which , the state of israel buys -- many expensive military weapons , ah , which is used to -- oppress and -- to kill a lot of palestinians . |||O O O O O O O B-TRI O O O O O O O O O O O O O O O O O B-TRI O O O O O 
so , for me , that 's -- the - that 's essentially the root of the problem . |||O O O O O O O O O O O O O O O O O O O 
and , um , yasser arafat was kind of in a difficult position , because you have these , um , incredibly -- oppressed and in some ways imprisoned , uh , palestinians , and if -- arafat had n't , um , tried to stand up -- and help them and - and fight for their rights , then -- m - they would n't have respected arafat , but then again , you know , he could n't be too friendly with the west , um , and , um , and so he did the best he could , i think . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
it 's a difficult -- leadership role . |||O O O O O O O O 
um , what do - well , how about you ? |||O O O O O O O O O O O 
gandhi i think , yeah , more or less , i c - i agree with what you said . |||O O O O O O O O O O O O O O O O O O O O 
it 's almost , this is my view as well . |||O O O O O O O O O O O 
and the question is , what next ? |||O O O O O O O O 
i mean , some idea -- from israeli side , they were saying -- he was a problem , and if he goes , everything will be quite easy . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
now he 's not in anymore . |||O O O O O O O 
so , let us wait and see . |||O O O O O O O O 
if he was a problem himself , hope - uh , the coming one -- will be in a good -- position to negotiate with the other side , israel , and then -- peace can be achieved . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
uh , we have to wait and see , but , uh , it seems it 's not easy . |||O O O O O O O O O O O O O O O O O O O O 
marco but , i , eh , i get the feeling that - -- |||O O O O O O O O O O O O O O 
we ca n't put it on -- the ro - or the - -- the whole responsibility of the pre - -- peace process ca n't be the leader of -- a - -- a group that is - -- i do n't know , in my view , has -- not ver - not very many resources to fight - -- to fight this -- battle that -- their trying to fight against -- a government that has taken away a lot of their land , that , you know , does n't allow them to really move around in their own country . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
so , unless that -- stops , the , um , the leader of the palestinians -- really ca n't do too much -- to further the peace process , because -- there are -- a lot of bad things happening to the people -- of that -- leader . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
marco yeah , so it 's - -- it 's kind of , it 's - -- it seems like the , um , the media , at least in the united states , is -- putting all of this -- focus and responsibility on the leader of the palestinians , as if it was |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
marco arafat 's fault that any of - -- any of the violence was caused . |||O O O O O O O O O O O O O O O O 
so , it seems like an unfair treatment -- of - -- of , you know , the leader of -- the palestinian people . |||O O O O O O O O O O O O O O O O O O O O O O O O O 
actually , it - it 's a good topic to be choosing , i mean , uh , because it 's one of the fresh topics . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O 
how long have you been with the study ? |||O O O O O O O O O 
uh , this is probably my tenth or eleventh conversation . |||O O O O O O O O O O O 
almost the same like me . |||O O O O O O 
so , the other -- days , which one was quite interesting to you ? |||O O O O O O O O O O O O O O O 
um , well , there 's been a couple where -- they 've - they talked about the cabinet -- for -- bush , and bush has been , um , you know , selecting new cabinet members and -- all of the new members are people that i 'm - i do n't really know very well . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O 
so , there 's been some topics where i 'm - i did n't have very much information . |||O O O O O O O O O O O O O O O O O O O 
other topics -- you know , usually about the election that - -- that , um , i did have -- a lot of things , um , to say . |||O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O 
are you - are you , um , are you from the united states , or do you come from , uh - |||O O O O O O O O O O O O O O O O O O O O O O O 
gandhi i came from the area , i 'm from egypt . |||O O O O O O O O O O O O 
gandhi yeah , so i 'm - i 'm quite , uh , |||O O O O O O O O O O O O O 
gandhi - cerned about , uh - -- uh , over there i mean . |||O O O O O O O O O O O O O O O 
people , actually , they are waiting -- to , uh , to see peace is a fact . |||O O O O O O O O O O O O O O O O O O O 
5 . death of arafat ( 1 ) controversial plo leader yasser arafat died in a paris hospital last week . |||O O B-TRI O O O O O O O O O O B-TRI O O O O O O O 
do you think arafat 's death will help or hurt the israeli- palestinian peace process ? |||O O O O O B-TRI O O O O O O O O O O 
was arafat a good leader ? |||O O O O O O 
what do you think us policy should be toward palestine now that arafat has died ? |||O O O O O O O O O O O O O O B-TRI O 
what , if anything , should the us do to be involved in the middle east peace process ? |||O O O O O O O O O O O O O O O O O O O 
sue hi , my name is sue and i 'm from iowa . |||O O O O O O O O O O O O O 
i 'm ben , i 'm from the bronx , new york . |||O O O O O O O O O O O O O 
pouring raining here and cold . |||O O O O O O 
